#Mean Central England Temperature 1659 to 2022
#Units: Degrees Celsius
#Notes:
#1) seasonal values are calculated from the monthly data by
#   averageing the three monthly values
#2) Seasons are Win=DJF   Spr=MAM   Sum=JJA   Aut=SON
#3) Winter: year refers to January
#4) Seasonal data exist for Spring 1659 onwards
#
# Year   Win    Spr    Sum    Aut  Annual
  1940    1.4    9.1   15.7    9.8    9.1
  1941    2.6    7.0   15.7   10.5    9.1
  1942    2.3    8.5   15.5    9.6    9.1
  1943    5.9    9.6   15.6   10.1   10.1
  1944    4.3    8.9   15.7    9.3    9.6
  1945    3.6   10.1   15.7   11.2   10.3
  1946    4.5    8.5   14.7   10.6    9.5
  1947    1.2    8.6   17.1   10.9    9.7
  1948    5.1    9.6   14.8   10.4   10.0
  1949    5.6    8.8   16.5   11.5   10.6
  1950    5.1    8.8   15.9    9.4    9.4
  1951    2.9    7.0   15.0   10.7    9.3
  1952    3.9    9.9   15.7    7.9    9.1
  1953    3.4    8.5   15.4   10.7    9.9
  1954    4.2    8.2   14.1   10.5    9.3
  1955    3.6    7.4   16.6   10.1    9.3
  1956    3.0    8.3   14.1    9.9    8.9
  1957    5.5    9.5   15.6    9.9   10.1
  1958    4.2    7.4   15.3   10.8    9.4
  1959    3.6    9.8   16.6   11.5   10.5
  1960    4.6    9.4   15.4   10.2    9.8
  1961    4.8    9.7   15.0   10.7   10.0
  1962    3.6    6.9   14.4    9.5    8.6
  1963   -0.3    8.4   14.8   10.7    8.5
  1964    3.5    8.8   15.1   10.1    9.5
  1965    3.3    8.3   14.5    9.3    9.0
  1966    4.4    8.2   15.0    9.8    9.5
  1967    5.1    8.4   15.5    9.9    9.6
  1968    3.5    8.1   15.1   11.0    9.3
  1969    3.2    7.3   15.7   10.8    9.3
  1970    3.3    7.8   15.9   11.0    9.6
  1971    4.4    8.1   15.0   10.4    9.7
  1972    4.9    8.4   14.2    9.5    9.2
  1973    4.9    8.2   15.6    9.8    9.6
  1974    5.4    8.3   14.7    8.7    9.6
  1975    6.4    7.7   16.9    9.7    9.9
  1976    5.2    8.3   17.7    9.9   10.0
  1977    3.2    8.2   14.4   10.4    9.4
  1978    4.0    8.3   14.4   11.4    9.4
  1979    1.5    7.4   14.9   10.3    8.7
  1980    4.5    8.2   14.8    9.9    9.4
  1981    4.5    9.0   15.0   10.1    9.2
  1982    2.4    8.7   15.9   10.6    9.8
  1983    4.3    7.9   17.1   10.4   10.1
  1984    4.3    7.6   16.3   10.8    9.7
  1985    2.7    8.0   14.5    9.8    8.9
  1986    3.0    7.3   14.7    9.9    8.7
  1987    3.5    8.1   14.7    9.8    9.0
  1988    5.2    8.8   14.7    9.5    9.7
  1989    6.5    9.0   16.4   10.7   10.4
  1990    6.1    9.6   16.1   10.5   10.6
  1991    3.0    8.8   15.4   10.4    9.5
  1992    4.5    9.9   15.7    9.4    9.8
  1993    4.6    9.2   14.9    8.4    9.5
  1994    4.7    8.8   16.1   10.9   10.2
  1995    5.8    8.8   17.3   11.3   10.5
  1996    3.0    7.4   15.8   10.3    9.2
  1997    3.8    9.6   16.5   10.8   10.5
  1998    6.0    9.6   15.2   10.4   10.3
  1999    5.4    9.9   15.9   11.3   10.6
  2000    5.3    9.1   15.6   10.6   10.2
  2001    4.3    8.5   16.1   11.4    9.9
  2002    5.2    9.6   15.7   10.9   10.6
  2003    4.7    9.7   17.2   10.5   10.5
  2004    5.0    9.3   16.2   11.0   10.5
  2005    5.2    9.1   16.3   11.5   10.5
  2006    4.2    8.7   17.3   12.6   10.9
  2007    6.5   10.2   15.3   10.6   10.5
  2008    5.7    9.2   15.6   10.0   10.0
